question,option1,option2,option3,option4,answer,imageName,underline
社会活動に参加することで、人脈を広げることができた。,じんみゃく,じんまく,にんみゃく,にんまく,じんみゃく,,人脈
鈴木さんは指摘がいつも的確で、本当に賢い人だと思う。,するどい,かしこい,すごい,えらい,かしこい,,賢い
文化の違いが食生活に顕著に現れている。,げんちょ,けんしょ,けんちょ,げんしょ,げんちょ,,顕著
相談の内容は多岐にわたった。,たき,たじ,たぎ,たし,たき,,多岐
その風習は、今はもう廃れてしまった。,くずれて,かすれて,つぶれて,すたれて,すたれて,,廃れて
家賃の相場は地域によって違う。,あいば,そうば,あいじょう,そうじょう,そうば,,相場
私はこの土地で定職に就き、生活の（ ）を築いた。,根拠,基盤,根源,基地,基盤,,
議論は難航すると思ったが、すぐに意見がまとまり、（ ）結論が出た。,すんなり,うっとり,ふんわり,こっそり,すんなり,,
さっき駅前で佐藤さんを（ ）んですが、今、海外にいるはずなのに変ですね。,見合わせた,見過ごした,見かけた,見つけた,見かけた,,
市長の責任ある行動が住民の不安を（ ）し、行政に対する期待が一気に高まった。,一掃,追放,削除,排出,一掃,,
十分に煮た野菜は味が（ ）柔らかく、とてもおいしかった。,溶けて,染みて,潤って,沈んで,染みて,,
このテーブルは私が子どものころから使っているので、（ ）があって捨てられない。,心情,好感,熱意,愛着,愛着,,
現社長は創立者から経営の（ ）を学んだ。,データベース,ベテラン,ライフワーク,ノウハウ,ノウハウ,,
高橋さんにはかねがねお会いしたいと思っていました。,直接,ぜひ,早く,以前から,以前から,,かねがね
林さんはそれを故意に捨てたらしい。,わざと,うっかり,いやいや,さっさと,わざと,,故意に
昨日、鈴木さんにおわびした。,文句を言った,お礼を言った,断った,謝った,謝った,,おわびした。
中村さんの言葉からは強い意気込みが伝わってくる。,敬意,自信,意欲,信頼,自信,,意気込み
妹は少しおびえているようだった。,焦って,怖がって,悩んで,悔やんで,怖がって,,おびえて
私はその一言に安堵した。,すっとした,はっとした,ほっとした,かっとした,ほっとした,,安堵した
"次の言葉の使い方として最もよいものを、一つ選びなさい。
閑静",そのレストランは繁華街から外れた閑静な場所にある。,今日は朝から具合が悪かったので、会社を休んで家で閑静にしていた。,用事が早く済み、閑静な時間ができたので、映画を見に行くことにした。,日中はにぎやかな公園だが、夜になると急に閑静になる。,そのレストランは繁華街から外れた閑静な場所にある。,,閑静
たやすい,弟は寝坊したらしく、たやすい物だけ食べて、慌てて出かけていった。,伊藤氏とは大学時代からの親友で、本音が言えるたやすい関係だ。,せっかくの日曜日だから、ゆっくり休んでたやすく過ごそうと思う。,この問題は想像以上に複雑で、たやすく解決できるものではなかった。,この問題は想像以上に複雑で、たやすく解決できるものではなかった。,,
察する,医師たちはチームを組み、意見を出し合って、最良の治療法を察した。,気象予報士はテレビの天気予報で、来週の気温の変化を察し始めた。,鈴木さんは、私が何も言わなくても、私の気持ちを察して慰めてくれた。,外を歩いていたら急にいいアイディアを察したので、手帳にメモをした。,鈴木さんは、私が何も言わなくても、私の気持ちを察して慰めてくれた。,,
内訳,来週の内訳を確認したが、予定がないのは木曜の夜だけだ。,前回の出張費の内訳を見たら、交通費の割合が予想外に高かった。,司会者は進行を間違えないように、式の内訳を何度も見直した。,家族の健康のため、栄養の内訳を考えて食事を作っている。,前回の出張費の内訳を見たら、交通費の割合が予想外に高かった。,,内訳
食い違う,この事件は、複数の目撃者の話がそれぞれ食い違っており、不明な点が多い。,金庫を開けようと思ったが、どの鍵も食い違って開けられなかった。,何だか歩きにくいと思ったら、サンダルの左右が食い違っていた。,調味料を変えたのか、この料理はいつもと味が食い違っているように感じる。,この事件は、複数の目撃者の話がそれぞれ食い違っており、不明な点が多い。,,食い違って
